year,no of baptisms
1872,1
1873,0
1874,0
1875,0
1876,0
1877,0
1878,0
1879,0
1880,1
1881,0
1882,1
1883,0
1884,0
1885,0
1886,1
1887,2
1888,0
1889,0
1890,0
1891,1
1892,1
1893,4
1894,2
1895,5
1896,9
1897,7
1898,19
1899,8
1900,49
1901,54
1902,76
1903,60
1904,107
1905,83
1906,79
1907,100
1908,64
1909,120
1910,139
1911,122
1912,155
1913,118
1914,158
1915,125
1916,131
1917,115
1918,100
1919,102
1920,125
1921,145
1922,155
1923,186
1924,202
1925,240
1926,219
1927,208
1928,326
1929,218
1930,277
1931,277
1932,233
1933,277
1934,224
1935,224
1936,219
1937,244
1938,176
1939,112
1940,112
1941,144
1942,137
1943,115
1944,148
1945,160
1946,155
1947,143
1948,177
1949,158
1950,253
1951,215
1952,212
1953,217
1954,222
1955,240
1956,163
1957,230
1958,233
1959,212
1960,237
1961,264
1962,133
1963,132
1964,150
1965,160
1966,136
1967,158
1968,150
1969,156
1970,151
1971,149
1972,172
1973,153
1974,137
1975,142
1976,125
1977,153
1978,147
1979,126
1980,215
1981,166
1982,224
1983,205
1984,229
1985,169
1986,129
1987,65
1988,57
1989,33
1990,134
1991,135
1992,148
1993,129
1994,149
1995,100
1996,76
1997,52
1998,65
1999,71
2000,157
2001,92
2002,88
2003,108
2004,74
2005,161
2006,112
2007,127
2008,144
2009,155
2010,140
2011,80
2012,148
2013,179
2014,241
2015,170
2016,116
2017,69
2018,15
